,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1000,-4.89325,-15.51747,0.09424,17.25325,-1.70805,Bayesian Inference,9.99021,29.30779,-73.62527,6.37794,-20.17271,False
1001,-2.65501,-15.50109,-0.00970,6.39987,-2.68674,Bayesian Inference,-26.03203,-8.52706,-75.16638,6.12772,-20.15142,False
1002,-15.82812,-15.48265,0.34021,20.17450,6.05552,Bayesian Inference,5.96247,12.92132,-76.50426,7.08804,-20.12744,False
1003,-16.10880,-15.49099,0.36757,1.40448,-0.75821,Bayesian Inference,15.17109,1.76525,-78.96563,7.81869,-20.13828,False
1004,-37.41717,-15.41315,0.82413,21.18453,-9.10132,Bayesian Inference,-7.96083,12.72000,-78.48946,6.84485,-20.03709,False
1005,-11.74476,-15.38631,-0.00091,12.27412,-5.69112,Bayesian Inference,-4.15554,0.60576,-78.29577,7.72316,-20.00221,False
1006,-35.38947,-15.38050,0.68937,23.35513,1.18997,Bayesian Inference,11.70711,8.85182,-72.14144,9.76931,-19.99465,False
1007,-37.63449,-15.37693,0.74803,18.89690,-2.55238,Bayesian Inference,6.43900,27.01410,-75.18807,9.47816,-19.99001,False
1008,-34.91405,-15.34028,0.58353,9.84083,-0.83281,Bayesian Inference,-0.42648,9.12172,-78.18354,8.38872,-19.94236,False
1009,9.13866,-15.42912,-0.52469,1.04566,-4.54246,GMMs and Accordions,24.59692,-41.45534,-78.45141,6.78277,-20.05786,True
1010,-39.85047,-15.35721,0.76902,13.88345,8.16572,Bayesian Inference,-17.11625,19.80237,-76.91721,11.01785,-19.96438,False
1011,6.67479,-15.58186,-0.10317,5.19457,1.42678,GMMs and Accordions,4.27803,-11.20038,-77.41161,7.08201,-20.25642,True
1012,-11.49088,-15.45527,0.14875,17.13241,3.27514,Bayesian Inference,-4.19863,18.05374,-77.39016,7.52934,-20.09186,False
1013,-14.74825,-15.38317,0.08129,-1.44378,-18.13445,GMMs and Accordions,-7.95558,-31.81497,-74.02028,7.48648,-19.99812,False
1014,3.72326,-15.44655,-0.32382,-2.77173,-5.00943,Bayesian Inference,-7.33174,-61.16517,-75.78593,10.51052,-20.08052,True
1015,0.81422,-15.46453,-0.19629,13.49294,6.18571,GMMs and Accordions,-0.39803,-38.35878,-74.46863,8.30243,-20.10388,True
1016,-21.48576,-15.47348,0.48764,17.67137,4.23379,Bayesian Inference,7.20932,17.08563,-72.24019,8.04936,-20.11552,False
1017,-18.17948,-15.47691,0.39709,-0.03493,4.05397,GMMs and Accordions,0.25924,1.28466,-79.42067,10.06864,-20.11998,False
1018,-1.30098,-15.37765,-0.33141,24.85665,0.84178,Bayesian Inference,12.15608,-34.40321,-75.95389,9.43363,-19.99094,False
1019,-23.21041,-15.37785,0.32094,29.98193,1.65791,Bayesian Inference,4.35488,-0.19149,-76.72280,8.08360,-19.99120,False
1020,-32.04754,-15.46829,0.79008,-2.10941,-5.65770,GMMs and Accordions,-23.25603,43.23239,-77.96418,5.84585,-20.10878,False
1021,-6.45673,-15.38640,-0.15805,5.94085,-2.70208,Bayesian Inference,-3.76602,-3.19805,-79.91680,6.74513,-20.00232,False
1022,-2.80115,-15.46428,-0.08927,8.22859,-7.62476,Bayesian Inference,-3.09005,5.31098,-76.20454,6.24698,-20.10357,False
1023,-1.41128,-15.52538,0.00867,-3.29876,-11.62827,GMMs and Accordions,-2.59355,9.93914,-76.12576,6.70220,-20.18300,False
1024,6.72189,-15.50505,-0.27969,-2.87895,6.96326,Bayesian Inference,-16.59554,30.25251,-76.00300,7.87687,-20.15656,True
1025,-6.95170,-15.47794,0.06536,1.11630,7.46904,Bayesian Inference,4.69999,-15.83543,-75.73325,8.52000,-20.12132,False
1026,-35.44475,-15.33479,0.58681,-1.30227,5.00536,GMMs and Accordions,-11.33259,15.43790,-79.19063,6.85300,-19.93523,False
1027,-14.39076,-15.46882,0.26590,9.64907,3.59038,Bayesian Inference,-8.12107,-3.86869,-79.51632,8.46142,-20.10946,False
1028,19.97088,-15.44092,-0.82010,14.32869,-3.40007,GMMs and Accordions,-14.05174,20.77313,-80.55300,8.04292,-20.07320,True
1029,-33.44498,-15.41779,0.71652,11.09547,1.08917,Bayesian Inference,0.74772,10.77615,-76.20071,8.92290,-20.04312,False
1030,-33.25054,-15.43403,0.74776,16.64907,-13.79766,Bayesian Inference,-28.28713,-74.22113,-77.97938,7.67447,-20.06424,False
1031,-38.43372,-15.38654,0.79372,5.74654,1.72233,Bayesian Inference,6.72967,0.14175,-75.05139,10.30432,-20.00250,False
1032,-4.76727,-15.43560,-0.09616,5.97614,-7.13582,Bayesian Inference,5.83571,-7.52059,-76.17268,9.76965,-20.06628,False
1033,-8.21139,-15.39579,-0.08444,7.92153,-7.12582,Bayesian Inference,-3.29574,-14.40019,-73.88665,6.12436,-20.01453,False
1034,-43.95201,-15.34846,0.87111,2.12784,8.31269,Bayesian Inference,-2.01179,27.36620,-74.14971,7.58291,-19.95300,False
1035,-41.23605,-15.35912,0.81458,-14.53400,-0.72461,GMMs and Accordions,-8.89524,20.07937,-76.41838,8.63355,-19.96685,False
1036,-23.00950,-15.37178,0.30113,-0.53542,4.10489,GMMs and Accordions,-2.49149,7.00941,-78.96688,8.58423,-19.98331,False
1037,-39.98493,-15.40027,0.87117,16.18725,3.72347,Bayesian Inference,8.22085,40.49845,-76.79776,8.25646,-20.02035,False
1038,-17.36836,-15.35640,0.09822,3.73754,2.65783,Bayesian Inference,13.40501,-26.08417,-76.30373,6.67759,-19.96332,False
1039,10.24457,-15.42625,-0.56416,9.04951,-0.24552,GMMs and Accordions,5.04230,-2.08309,-78.55729,5.45288,-20.05412,True
1040,-5.09643,-15.37930,-0.21472,25.32585,-1.87502,Bayesian Inference,-14.86505,42.77221,-78.26481,8.82141,-19.99309,False
1041,-20.85864,-15.44872,0.41255,19.17575,3.50407,Bayesian Inference,-7.33144,-6.91414,-74.17801,7.05748,-20.08334,False
1042,-14.03566,-15.42746,0.16105,1.48277,-8.64875,Bayesian Inference,8.22383,-16.26679,-79.68137,7.79690,-20.05569,False
1043,-26.37525,-15.46132,0.60541,3.40927,4.44767,Bayesian Inference,7.03192,-1.03470,-78.79173,6.52007,-20.09972,False
1044,-17.21521,-15.39445,0.18040,18.35614,-2.39594,Bayesian Inference,3.78277,-3.80039,-72.47603,9.69694,-20.01278,False
1045,-20.81188,-15.42643,0.36034,5.85856,0.65672,Bayesian Inference,3.04765,27.81547,-72.28045,7.53066,-20.05436,False
1046,-11.10663,-15.36867,-0.06012,-10.65784,0.71240,GMMs and Accordions,-7.57802,17.43153,-77.75393,8.34341,-19.97927,False
1047,-23.86451,-15.39423,0.37776,3.76644,4.62438,Bayesian Inference,-4.54470,-21.85949,-76.81045,7.64794,-20.01250,False
1048,-8.10468,-15.38588,-0.11021,-1.37827,-0.42958,GMMs and Accordions,6.78911,-28.68098,-75.64981,9.33047,-20.00164,False
1049,-15.35198,-15.42182,0.18737,8.30569,-5.61204,Bayesian Inference,-6.11270,1.87173,-72.66405,8.08018,-20.04837,False
1050,-2.28141,-15.44920,-0.13912,3.93457,3.79714,Bayesian Inference,17.37271,34.93880,-74.22897,5.93699,-20.08396,False
1051,-40.56823,-15.37680,0.83502,15.98090,-4.08673,Bayesian Inference,-2.87911,-16.20355,-76.21173,7.98170,-19.98983,False
1052,2.05252,-15.52813,-0.08812,7.68902,7.14231,GMMs and Accordions,10.23349,23.00639,-77.35112,7.60496,-20.18657,True
1053,-21.66820,-15.41437,0.35833,0.57891,-0.18469,Bayesian Inference,-12.17255,13.33173,-77.88506,8.09678,-20.03869,False
1054,3.14430,-15.44942,-0.30005,-0.28316,1.08501,Bayesian Inference,17.24734,-32.47143,-78.78090,7.41138,-20.08425,True
1055,-6.80223,-15.49949,0.11005,27.41094,3.81350,Bayesian Inference,-19.58623,17.85886,-76.19593,5.61554,-20.14934,False
1056,-25.35963,-15.35990,0.34397,10.76822,-0.11589,Bayesian Inference,-1.55950,-4.43138,-77.39702,7.89671,-19.96787,False
1057,9.78920,-15.61571,-0.11867,11.42789,-3.14087,GMMs and Accordions,-2.57377,25.82240,-74.64193,5.23121,-20.30042,True
1058,-32.40846,-15.34182,0.51248,-1.05756,5.09884,GMMs and Accordions,-20.49199,34.90205,-78.17676,6.57787,-19.94436,False
1059,-6.90292,-15.41943,-0.06947,1.51746,-3.62311,Bayesian Inference,-7.24354,2.25209,-73.54729,9.53219,-20.04526,False
1060,-16.83047,-15.42575,0.24031,8.80226,6.86330,Bayesian Inference,-11.60319,14.84625,-79.28559,4.65588,-20.05347,False
1061,5.16012,-15.45771,-0.34114,1.65237,-5.28219,GMMs and Accordions,-32.79308,-19.88922,-72.82106,4.17270,-20.09502,True
1062,-12.12159,-15.52766,0.33255,33.10204,7.90035,Bayesian Inference,-2.08369,-17.96629,-77.93596,8.44342,-20.18596,False
1063,-19.40118,-15.40308,0.26513,12.65493,3.18158,Bayesian Inference,11.41834,-13.02263,-73.97380,7.16514,-20.02401,False
1064,-16.60474,-15.43625,0.25754,30.28468,-2.11493,Bayesian Inference,4.73440,12.04297,-74.19211,6.64543,-20.06713,False
1065,4.58711,-15.49643,-0.23582,19.19151,6.71132,GMMs and Accordions,3.47853,4.78680,-74.00495,8.01566,-20.14535,True
1066,0.88262,-15.50601,-0.10375,23.07079,2.41547,GMMs and Accordions,-9.40877,-56.62758,-75.17741,6.80044,-20.15781,True
1067,-10.06924,-15.37420,-0.07839,23.68897,-0.07210,Bayesian Inference,-0.60719,0.11781,-76.38664,11.28411,-19.98645,False
1068,-17.42021,-15.44931,0.31158,12.65379,-2.27864,Bayesian Inference,-6.10706,24.96456,-81.00653,10.06363,-20.08410,False
1069,-2.35440,-15.36722,-0.32384,18.91376,5.97425,Bayesian Inference,-4.30664,-25.90085,-75.88272,8.86311,-19.97739,False
1070,-15.88380,-15.40179,0.15752,18.17400,-4.69271,Bayesian Inference,-9.97994,-6.28412,-73.36307,8.04527,-20.02232,False
1071,-26.43920,-15.38606,0.43574,3.24548,-1.27032,Bayesian Inference,2.00166,-12.27527,-77.42817,7.83759,-20.00188,False
1072,-26.06188,-15.43898,0.54515,5.97772,-2.83616,Bayesian Inference,17.46868,-27.72667,-77.76981,9.43414,-20.07067,False
1073,2.08057,-15.51564,-0.11743,6.61845,0.96352,GMMs and Accordions,6.23096,2.75944,-76.16148,6.05985,-20.17034,True
1074,-21.26345,-15.42776,0.37680,24.73250,-7.96806,Bayesian Inference,-2.82532,30.33605,-78.34890,8.54995,-20.05609,False
1075,-20.37970,-15.43248,0.36126,23.71701,2.26418,Bayesian Inference,-8.95686,9.30795,-77.50357,8.80493,-20.06222,False
1076,-15.22921,-15.35140,0.02318,5.60954,0.65331,Bayesian Inference,-4.36025,13.09757,-77.34756,8.93330,-19.95683,False
1077,-2.36476,-15.42293,-0.19654,4.77347,-5.16794,Bayesian Inference,4.08703,11.72757,-78.49060,7.98870,-20.04981,False
1078,5.34900,-15.45140,-0.36114,4.84551,-2.93822,GMMs and Accordions,-0.44442,8.14956,-76.53236,7.71247,-20.08682,True
1079,-6.09861,-15.39210,-0.15572,19.78604,-4.88291,Bayesian Inference,-5.12646,22.01178,-77.60510,9.55219,-20.00973,False
1080,-5.15332,-15.42591,-0.10676,-2.33484,1.11458,GMMs and Accordions,7.28622,12.22347,-74.13975,6.65009,-20.05369,False
1081,-27.30736,-15.37915,0.44582,-5.13550,-5.78672,GMMs and Accordions,-15.96197,-12.32586,-76.06279,11.71350,-19.99290,False
1082,-15.00755,-15.46978,0.28646,11.74389,-2.50097,Bayesian Inference,11.40010,-24.00468,-79.09047,8.23524,-20.11072,False
1083,-4.20728,-15.36388,-0.27632,15.14988,-1.86646,Bayesian Inference,5.86819,-26.54405,-78.04547,8.71475,-19.97305,False
1084,-13.42316,-15.37444,0.02196,15.54359,-0.58937,Bayesian Inference,-7.41566,9.21696,-79.28494,8.83622,-19.98677,False
1085,-20.52262,-15.40740,0.30835,14.70576,-4.29373,Bayesian Inference,-0.51831,26.80856,-79.61670,9.59509,-20.02963,False
1086,-26.57413,-15.34254,0.34054,-6.18766,-9.34263,GMMs and Accordions,-10.18669,-7.15276,-75.66768,10.96572,-19.94531,False
1087,-36.02942,-15.37606,0.69829,10.65199,-3.44774,Bayesian Inference,10.74347,-7.50956,-76.73467,9.47809,-19.98888,False
