,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0,Shoogee,1.62243,-15.51242,-0.11115,16.86347,-3.55037,GMMs and Accordions,0.21564,51.35588,-74.79739,4.41501,-20.16615,True
1,Atsuto,-33.80391,-15.44170,0.78171,28.11765,6.41342,Bayesian Inference,18.70829,12.72187,-78.84386,6.42020,-20.07421,False
2,Bob,-10.49048,-15.48716,0.19168,16.87734,11.41567,Bayesian Inference,-8.57972,6.02294,-78.18658,10.44804,-20.13331,False
3,Atsuto,-18.39930,-15.47262,0.39385,0.32310,-1.22566,Bayesian Inference,8.81810,-8.26627,-78.24734,8.27237,-20.11441,False
4,Jorg,-38.06452,-15.37007,0.74519,3.12356,0.15829,Bayesian Inference,-2.90392,-11.76543,-79.92011,7.23429,-19.98109,False
5,Atsuto,2.13528,-15.47278,-0.21677,11.62632,-1.78539,GMMs and Accordions,5.60305,-23.30847,-75.35696,8.98161,-20.11462,True
6,Bob,-12.06341,-15.39016,0.01734,1.92766,-2.52138,Bayesian Inference,-14.80564,21.27088,-78.26144,8.06903,-20.00721,False
7,Atsuto,-1.00275,-15.45690,-0.15962,3.50596,2.04260,Bayesian Inference,1.78448,-16.20681,-76.73808,7.70020,-20.09396,False
8,Jorg,-12.88126,-15.44137,0.15842,7.79609,0.34916,Bayesian Inference,-1.90421,18.03565,-77.61847,5.77048,-20.07378,False
9,Jorg,0.14535,-15.43310,-0.24804,12.47875,-4.24306,GMMs and Accordions,-4.48597,-27.31991,-73.56616,5.75394,-20.06303,True
10,Jorg,-30.04746,-15.39323,0.55944,12.98793,0.85595,Bayesian Inference,-18.04556,-49.37976,-76.68708,9.78892,-20.01120,False
11,Bob,-7.22974,-15.41240,-0.07578,23.15720,3.48151,Bayesian Inference,20.41084,-34.96813,-78.15053,5.96563,-20.03612,False
12,Bob,-13.24424,-15.42325,0.12791,1.06133,7.99599,Bayesian Inference,-9.99321,15.00159,-76.78472,8.25805,-20.05022,False
13,Atsuto,-20.22147,-15.45928,0.41766,-0.87459,2.50626,GMMs and Accordions,-0.42993,7.67920,-78.68564,6.09991,-20.09707,False
14,Atsuto,-25.82206,-15.44226,0.54550,23.01882,-1.05012,Bayesian Inference,-0.45998,11.98640,-77.40256,7.58527,-20.07494,False
15,Atsuto,-13.56923,-15.45700,0.21453,11.73490,0.28664,Bayesian Inference,6.77848,-4.28455,-75.25672,7.73162,-20.09411,False
16,Atsuto,-29.55587,-15.40648,0.57502,1.96071,0.64663,Bayesian Inference,4.49943,-17.21618,-78.39261,8.19677,-20.02842,False
17,Jorg,-2.55630,-15.42265,-0.19148,2.38901,4.37652,Bayesian Inference,7.64164,12.42309,-77.51528,7.59626,-20.04944,False
18,Shoogee,3.42031,-15.56648,-0.04139,-0.43013,5.03973,Bayesian Inference,-6.02647,-0.62832,-72.20879,4.12850,-20.23643,True
19,Atsuto,0.48789,-15.52408,-0.05080,16.89069,6.25603,GMMs and Accordions,-6.66204,6.74536,-78.26731,7.84088,-20.18131,True
20,Bob,-17.82742,-15.37050,0.14402,4.76996,7.20216,Bayesian Inference,-8.70116,7.07911,-79.31932,8.13201,-19.98165,False
21,Bob,-9.01088,-15.49463,0.16468,5.29697,-7.02556,Bayesian Inference,0.17336,8.51706,-78.94528,7.22244,-20.14302,False
22,Shoogee,8.02569,-15.59959,-0.10294,-0.12419,-10.77895,Bayesian Inference,0.35240,-13.36785,-73.79352,5.94932,-20.27947,True
23,Atsuto,-6.23107,-15.37007,-0.20199,14.14560,8.24390,Bayesian Inference,6.12046,-15.74669,-76.57548,8.83387,-19.98109,False
24,Bob,7.66331,-15.48372,-0.35633,14.24966,-1.50232,GMMs and Accordions,0.61909,-1.88073,-77.14143,6.86571,-20.12883,True
